Source,Finding ID,Type,Category,Title,Priority,Severity,Description,Status
Dashboard,codra-no-strict-mode-tsconfig,config,code-quality,TypeScript Strict Mode Not Enabled,P2,minor,The `tsconfig.json` file does not have strict mode enabled. Enabling strict mode,open
Dashboard,codra-hardcoded-api-keys,security,security,Potential Hardcoded API Keys,P0,blocker,There are string literals in the source code that may resemble API keys or secre,open
Dashboard,codra-glass-opacity-check,ux,ux,Glass Opacity Calculation,P2,major,The glass opacity calculation may not meet accessibility standards. Ensure that ,open
Dashboard,codra-accent-usage-validation,bug,logic,Accent Color Usage Validation,P0,blocker,Direct usage of coral accent colors outside approved components detected. Ensure,open
Dashboard,codra-code-quality-eslint-disable,debt,code quality,ESLint Rules Disabled Without Justification,P0,blocker,There are instances where ESLint rules from `eslint-plugin-codra` are disabled w,open
Dashboard,codra-duplicate-keys-in-promotion,bug,logic,Duplicate keys in promotion metadata,P2,minor,The promotion metadata may contain duplicate keys which could lead to unexpected,open
Dashboard,codra-strict-mode-not-enabled,config,config,TypeScript Strict Mode Not Enabled,P1,major,The project uses TypeScript but strict mode was not detected in `tsconfig.json`.,open
Dashboard,codra-netlify-functions-only-flag,bug,logic,Server-side Logic Outside Netlify Functions,P0,blocker,All server-side logic must reside in `netlify/functions/`. Any new server-side l,open
Dashboard,codra-eslint-rules,code quality,code quality,Custom ESLint Rules Disabled,P0,blocker,Custom ESLint rules from eslint-plugin-codra must not be disabled. Check for any,open
Dashboard,codra-api-credentials-plaintext,security,security,Potential Plaintext Storage of API Credentials,P0,blocker,API keys or secrets should not be stored in plaintext in the database. Ensure th,open
Dashboard,codra-no-strict-mode,config,code quality,TypeScript Strict Mode Not Enabled,P2,minor,The `tsconfig.json` does not have strict mode enabled. Enabling strict mode can ,open
Dashboard,codra-localstorage-usage,bug,logic,LocalStorage Usage Without Fallback for Server-Side Rendering,P1,major,"The `StorageKeyAdapter` class uses `localStorage` directly, which can cause issu",open
Dashboard,codra-hardcoded-strings,security,security,Potential Hardcoded Secrets in Source Code,P0,blocker,There are string literals in the source code that could potentially be secrets. ,open
Dashboard,codra-flag-stripe-usage,bug,logic,Stripe operations outside Netlify Functions,P0,blocker,Stripe API calls must occur only inside `netlify/functions/`. Found potential us,open
Dashboard,codra-flag-jwt-verification,bug,security,Missing JWT verification in Netlify Functions,P0,blocker,Every Netlify Function that reads or writes user data must verify the caller's s,open
Dashboard,codra-flag-plain-text-credentials,bug,security,API credentials stored in plain text,P0,blocker,No API keys or secrets should be stored in the database unencrypted. Found poten,open
Dashboard,codra-stripe-api-restriction,bug,logic,Stripe API Calls Outside Netlify Functions,P0,blocker,Stripe API calls must only occur inside `netlify/functions/`. Ensure no direct c,open
Dashboard,codra-stripe-api-outside-functions,bug,logic,Stripe API calls outside Netlify Functions,P0,blocker,Stripe API calls must only occur inside `netlify/functions/`. Found potential St,open
Dashboard,codra-ai-enricher-direct-api-call,bug,logic,Direct API call to Anthropic in AI Enricher,P0,blocker,The AI Enricher makes a direct API call to Anthropic in `src/pipeline/enrichment,open
Dashboard,codra-cache-persistence-issue,bug,persistence,Cache Persistence Issue,P1,major,The `ContentHashCache` class in `src/pipeline/enrichment/cache.ts` does not hand,open
Dashboard,codra-no-strict-mode-typescript,config,code-quality,TypeScript Strict Mode Not Enabled,P3,minor,The TypeScript configuration does not have strict mode enabled. Enabling strict ,open
Dashboard,codra-tsconfig-strict-mode,config,code-quality,TypeScript Strict Mode Not Enabled,P2,minor,The project uses TypeScript but does not have strict mode enabled in `tsconfig.j,open
Dashboard,codra-hardcoded-secrets-check,security,security,Potential Hardcoded Secrets in Source Code,P0,blocker,Source code should not contain hardcoded secrets such as API keys or tokens. Rev,open
Dashboard,codra-missing-security-headers,security,security,Missing Security Headers in Netlify Configuration,P1,major,"Security headers such as `X-Frame-Options`, `X-Content-Type-Options`, and `Conte",open
Dashboard,codra-typescript-strict-mode-disabled,config,code quality,TypeScript Strict Mode Not Enabled,P2,minor,The `tsconfig.json` does not have strict mode enabled. Enabling strict mode can ,open
Dashboard,codra-ui-missing-storybook,ux,code-quality,Missing Storybook Stories for UI Components,P3,minor,New UI components in `src/components/ui/` do not have corresponding Storybook st,open
Dashboard,codra-ui-hardcoded-colors,ux,code-quality,Hardcoded Colors in UI Components,P3,minor,UI components contain hardcoded color values instead of using CSS variables or t,open
Dashboard,codra-ui-accessibility-aria,ux,accessibility,Accessibility: Missing ARIA Attributes,P2,major,"Some interactive elements lack ARIA attributes to enhance accessibility, such as",open
Dashboard,codra-ui-hardcoded-secrets,security,security,Potential Hardcoded Secrets in UI Code,P0,blocker,The UI code should not contain any hardcoded secrets or API keys. Ensure that al,open
Dashboard,codra-ui-storybook-coverage,debt,code_quality,Missing Storybook Coverage for New UI Components,P3,minor,New UI components should have corresponding Storybook stories to ensure proper d,open
Dashboard,codra-ui-security-headers,config,security,Missing Security Headers in Deployment,P1,major,"Security headers such as `X-Frame-Options`, `X-Content-Type-Options`, and `Conte",open
Dashboard,codra-ui-missing-security-headers,security,security,Missing Security Headers in UI Components,P1,major,"Security headers such as `X-Frame-Options`, `X-Content-Type-Options`, and `Conte",open
Dashboard,codra-strict-mode-not-detected,config,config,TypeScript Strict Mode Not Enabled,P1,major,The project uses TypeScript but strict mode was not detected in `tsconfig.json`.,open
Dashboard,codra-analytics-provider,ux,ux,Unapproved Analytics Provider Detected,P1,major,The project must only use `posthog-js` as the analytics provider. Check for any ,open
Dashboard,codra-ui-missing-storybook-coverage,debt,ux,Missing Storybook Coverage for New UI Components,P3,nit,New UI components in the workspace directory do not have corresponding Storybook,open
Dashboard,codra-ui-no-security-headers,security,security,Missing Security Headers in UI Components,P1,major,"The UI components do not include security headers such as `X-Frame-Options`, `X-",open
Dashboard,codra-ui-hardcoded-strings,security,security,Hardcoded Strings in UI Components,P2,minor,"There are hardcoded strings in the UI components, which could potentially includ",open
Manual,f-foreign-keys-missing-on-delete-01,debt,constraint-violation,Foreign Keys Missing ON DELETE Behaviors,P2,minor,Multiple foreign key constraints are defined without explicit ON DELETE behavior,open
Manual,SYNTH-DEBT-008,debt,synth-debt,Schema Violation in runtime-bug-hunter output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-010,debt,synth-debt,Schema Violation in runtime-bug-hunter output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-011,debt,synth-debt,Schema Violation in runtime-bug-hunter output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-012,debt,synth-debt,Schema Violation in ux-flow-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-013,debt,synth-debt,Schema Violation in ux-flow-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-014,debt,synth-debt,Schema Violation in ux-flow-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-015,debt,synth-debt,Schema Violation in ux-flow-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-016,debt,synth-debt,Schema Violation in ux-flow-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-017,debt,synth-debt,Schema Violation in ux-flow-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-018,debt,synth-debt,Schema Violation in ux-flow-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-019,debt,synth-debt,Schema Violation in performance-cost-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-020,debt,synth-debt,Schema Violation in performance-cost-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-021,debt,synth-debt,Schema Violation in performance-cost-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-022,debt,synth-debt,Schema Violation in security-privacy-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-023,debt,synth-debt,Schema Violation in security-privacy-auditor output,P2,minor,Normalized placeholder description.,open
Manual,SYNTH-DEBT-024,debt,synth-debt,Schema Violation in security-privacy-auditor output,P2,minor,Normalized placeholder description.,open
Manual,f-4e388587,bug,type-error,tsc fails: missing generated assets-index-enriched.json import,P0,blocker,`canonical-registry.ts` dynamically imports `../../../out/assets-index-enriched.,open
Manual,f-7f705a16,debt,missing-validation,"Pipeline AI enrichment calls Anthropic API directly, not via AIRouter",P1,major,Expectations 2.2 requires AI provider calls to go through the AIRouter abstracti,open
