Project,Source,Finding ID,Title,Type,Priority,Category,Description
Relevnt,Manual Only,MIGRATION-GAP-004,cache_invalidation_log table referenced in code but no migration exists,bug,P1,migration-gap,netlify/functions/utils/cacheInvalidation.ts:161 and netlify/functions/jobs/get_
Relevnt,Manual Only,ORPHANED-DATA-001,job_matches.persona_id FK dropped in 20260203090500 with no replacement,bug,P2,orphaned-data,Migration 20260203090500 dropped the persona_id FK constraint on job_matches. Pe
Relevnt,Manual Only,VALIDATION-GAP-001,detect-ats.ts upserts platform without validating against CHECK constraint enum,bug,P3,validation-gap,netlify/functions/jobs/detect-ats.ts:249 upserts a platform value without checki
Relevnt,Manual Only,data-constraint-violation-001,Conflicting auto_apply_queue status CHECK constraints across migrations can make valid states invalid,bug,P1,constraint-violation,Multiple migrations added CHECK constraints on auto_apply_queue.status with non-
Relevnt,Manual Only,data-constraint-violation-002,ai_usage_log has duplicate user_id FKs with conflicting ON DELETE behavior,bug,P2,constraint-violation,The baseline migration defines two foreign key constraints on ai_usage_log.user_
Relevnt,Manual Only,data-migration-gap-001,"provider_health and ats_detection_cache still only in netlify/functions migration track, not in supabase/migrations",bug,P2,migration-gap,Migration 20260305220000 resolved the missing-migration gap for cache_invalidati
Relevnt,Manual Only,data-migration-gap-002,Phase-4 and phase-5 verification migrations reference renamed/dropped tables,debt,P2,migration-gap,Migrations 20260131006000_monitoring_verification_phase4.sql and 20260131007000_
Relevnt,Manual Only,data-migration-gap-003,supabase/config.toml configures seed.sql but the file is absent,debt,P3,migration-gap,"supabase/config.toml enables db.seed with sql_paths=[""./seed.sql""], but supabase"
Relevnt,Manual Only,data-missing-rls-001,provider_health and ats_detection_cache still only defined in netlify/functions/migrations without RLS,bug,P1,missing-rls,Migration 20260305180000 fixed auto_apply_queue and resume_versions_history (MIS
Relevnt,Manual Only,data-missing-rls-003,aggregate_daily_analytics SECURITY DEFINER function missing REVOKE FROM PUBLIC — callable by any authenticated user,bug,P2,missing-rls,Migration 20260305223000_add_aggregate_daily_analytics_rpc.sql creates aggregate
Relevnt,Manual Only,data-orphaned-data-001,Cross-owner reference risk for application and cover-letter linkages,bug,P2,orphaned-data,FKs on job_applications and cover_letters enforce existence but not same-owner r
Relevnt,Manual Only,data-schema-mismatch-001,"cover_letters app contract expects resume_id, job_description, company_name columns absent from canonical schema",bug,P1,schema-mismatch,"Frontend hook/component/types use cover_letters fields resume_id, job_descriptio"
Relevnt,Manual Only,data-type-drift-001,"saved_jobs.job_id nullability drift: DB allows NULL, app type still requires string",debt,P2,type-drift,Migration 20260205170000 dropped NOT NULL on saved_jobs.job_id and changed the F
Relevnt,Manual Only,data-type-drift-002,Four tables added by 20260305220000 absent from src/types/supabase.ts,bug,P1,type-drift,Migration 20260305220000_create_missing_shared_tables.sql creates market_snapsho
Relevnt,Manual Only,data-validation-gap-001,Netlify functions apply manual ad-hoc validation without DB-aligned schema contracts,debt,P2,validation-gap,netlify/functions/utils/validation.ts and netlify/functions/utils/jobValidation.
Relevnt,Manual Only,data-validation-gap-002,No schema-first validation layer (Zod/Yup/Joi) for DB-facing payloads,debt,P2,validation-gap,"A repository-wide search found no Zod, Yup, or Joi imports. All validation is ad"
Relevnt,Dashboard Only,embr-activation-gate-draft-expectations,Draft Expectations Not Activated,bug,P0,logic,"The audit expectations are in draft status and have not been activated, which pr"
Relevnt,Dashboard Only,embr-auth-missing-validation-commands,Missing Validation Commands,bug,P1,logic,"Validation commands for testing, linting, and typechecking are not found in the "
Relevnt,Dashboard Only,embr-draft-expectations,Draft Expectations Document,bug,P0,logic,"The expectations document is in draft status and has not been activated, which v"
Relevnt,Dashboard Only,embr-draft-expectations-document,Draft Expectations Document,bug,P1,logic,The expectations document is in draft status and requires review before activati
Relevnt,Dashboard Only,embr-draft-expectations-not-activated,Draft Expectations Document Not Activated,bug,P0,logic,"The expectations document is in draft status and has not been activated, which v"
Relevnt,Dashboard Only,embr-expectations-document-draft,Draft Expectations Document,bug,P0,logic,The expectations document is in draft status and requires review before activati
Relevnt,Dashboard Only,embr-expected-validation-commands-not-found,Missing Validation Commands,bug,P1,logic,"Validation commands for testing, linting, and typechecking are not found in the "
Relevnt,Dashboard Only,embr-groups-members-loading-state,Loading State Not Handled Properly,bug,P1,ux,"The Group Members page does not handle loading states effectively, leading to po"
Relevnt,Dashboard Only,embr-groups-settings-unauthorized-access,Unauthorized Access to Group Settings,bug,P0,security,The Group Settings page allows access to users who are not admins or the creator
Relevnt,Dashboard Only,embr-incomplete-coverage,Incomplete Coverage of UI/UX Expectations,bug,P1,ux,The audit did not cover all relevant UI/UX expectations as the draft expectation
Embr,Manual Only,f-schema-nullable-walletid-001,Transaction and Payout tables have walletId foreign key field but schema marks as nullable,bug,P1,N/A,
Embr,Manual Only,f-schema-monetary-cents-001,Track.price and ArtistStat.revenue were migrated to integer cents but may have pre-existing inconsistencies,enhancement,P2,N/A,
Embr,Manual Only,f-schema-nullable-refs-001,"Multiple tables allow nullable foreign key references with SetNull cascade, risking orphaned parent-only records",debt,P2,N/A,
Embr,Manual Only,f-schema-rls-coverage-001,Database uses PostgreSQL but no RLS (Row-Level Security) policies defined,question,P0,N/A,
Embr,Manual Only,f-schema-validation-amount-001,"Monetary amount fields (Wallet, Transaction, Tip, Payout) lack NOT NULL or CHECK constraints in schema",bug,P1,N/A,
Embr,Manual Only,f-schema-orphaned-refs-transaction-user-001,"Transaction.userId is optional (nullable) with onDelete: SetNull, risking orphaned transactions",debt,P2,N/A,
Embr,Manual Only,f-schema-wallet-unique-index-001,"Wallet.userId has @unique constraint, but index at line 388 is redundant",enhancement,P2,N/A,
Embr,Manual Only,f-deploy-build-failure-nestjs-001,NestJS API build fails with TypeScript compilation errors in messaging service,bug,P0,N/A,
Embr,Manual Only,f-deploy-ci-build-api-missing-001,CI/CD pipeline does not build or test the API; only web typecheck and build are validated,bug,P1,N/A,
Embr,Manual Only,f-deploy-typescript-strict-api-001,API TypeScript strict mode enabled but hundreds of pre-existing type errors prevent clean builds,debt,P1,N/A,
